"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chr3R"	14088163	14088363	201	"*"	6.29	6.78	5.89	0.9	1.46e-05	0.0102	"8351"	"FBgn0038198"	14089517	14092425	"+"	"upstream"	-1354	1154	"NearestLocation"	"Npc2b"	"Niemann-Pick type C-2b"
"chr3R"	30282682	30282882	201	"*"	6.5	6.92	6.17	0.75	1.71e-05	0.0113	"10025"	"FBgn0010113"	30277932	30372382	"+"	"inside"	4750	4750	"NearestLocation"	"hdc"	"headcase"
"chr3R"	30594407	30594607	201	"*"	3.99	2.79	4.41	-1.62	1.79e-05	0.0113	"10068"	"FBgn0051019"	30597004	30599296	"+"	"upstream"	-2597	2397	"NearestLocation"	"CG31019"	"uncharacterized protein"
"chr3R"	30215044	30215244	201	"*"	5.15	4.21	5.52	-1.31	2.45e-05	0.0147	"10019"	"FBgn0000279"	30216484	30216938	"+"	"upstream"	-1440	1240	"NearestLocation"	"CecC"	"Cecropin C"
"chr3R"	10761162	10761362	201	"*"	6.91	7.4	6.52	0.88	2.99e-05	0.0171	"8005"	"FBgn0037831"	10761310	10766756	"+"	"overlapStart"	-148	52	"NearestLocation"	"Cap-H2"	"Chromosome associated protein H2"
"chr3R"	18051750	18051950	201	"*"	5.09	5.67	4.57	1.1	4.36e-05	0.0238	"8757"	"FBgn0010389"	18045216	18052984	"-"	"inside"	1234	1034	"NearestLocation"	"htl"	"heartless"
"chr3R"	21088652	21088852	201	"*"	4.74	3.78	5.11	-1.33	5.79e-05	0.0303	"9062"	"FBgn0265067"	21088792	21095744	"+"	"overlapStart"	-140	60	"NearestLocation"	NA	NA
"chr3L"	25259	25459	201	"*"	3.87	4.58	3.16	1.42	7.03e-05	0.0354	"4662"	"FBgn0052475"	22428	26308	"+"	"inside"	2831	849	"NearestLocation"	"mthl8"	"methuselah-like 8"
"chr3R"	19864198	19864398	201	"*"	7.09	7.51	6.76	0.74	7.58e-05	0.0367	"8946"	"FBgn0038738"	19862517	19864393	"-"	"overlapStart"	195	5	"NearestLocation"	"CG4572"	"uncharacterized protein"
"chr3R"	15975166	15975366	201	"*"	5.72	6.25	5.27	0.98	8.75e-05	0.0407	"8559"	"FBgn0022787"	15973298	15983451	"+"	"inside"	1868	1868	"NearestLocation"	"Hel89B"	"Helicase 89B"
"chr3R"	31127438	31127638	201	"*"	4.59	5.19	4.07	1.12	0.000102	0.0459	"10115"	"FBgn0039820"	31126149	31127335	"+"	"downstream"	1289	103	"NearestLocation"	"CG15554"	"uncharacterized protein"
"chr2L"	3323969	3324169	201	"*"	4.67	5.27	4.13	1.15	0.000122	0.0528	"359"	"FBgn0053281"	3324237	3326637	"+"	"upstream"	-268	68	"NearestLocation"	"CG33281"	"uncharacterized protein"
"chr3R"	15617949	15618149	201	"*"	4.28	4.89	3.73	1.16	0.00017	0.0714	"8529"	"FBgn0263040"	15635468	15636489	"+"	"upstream"	-17519	17319	"NearestLocation"	"CG43335"	"uncharacterized protein"
"chr3L"	14999594	14999794	201	"*"	6.18	6.64	5.83	0.81	0.000179	0.0723	"6335"	"FBgn0036462"	14997981	14999666	"-"	"overlapStart"	72	72	"NearestLocation"	"mRpL39"	"mitochondrial ribosomal protein L39"
"chr3R"	16934481	16934681	201	"*"	5.91	6.34	5.58	0.75	0.000184	0.0723	"8667"	"FBgn0264857"	16831116	16923231	"-"	"upstream"	-11250	11250	"NearestLocation"	NA	NA
"chr3R"	19017383	19017583	201	"*"	6.05	6.53	5.65	0.89	0.000253	0.0963	"8864"	"FBgn0038672"	19022458	19024030	"-"	"downstream"	6647	4875	"NearestLocation"	"CG6005"	"uncharacterized protein"
"chr2L"	3896087	3896287	201	"*"	6.41	6.8	6.1	0.7	0.000364	0.135	"439"	"FBgn0000256"	3872646	3902860	"-"	"inside"	6773	6573	"NearestLocation"	"capu"	"cappuccino"
"chr2L"	4283040	4283240	201	"*"	4.53	5.21	3.86	1.35	0.000426	0.153	"452"	"FBgn0010473"	4283148	4323781	"+"	"overlapStart"	-108	92	"NearestLocation"	"tutl"	"turtle"
"chr3R"	11690036	11690236	201	"*"	5.92	6.37	5.57	0.8	0.00055	0.187	"8099"	"FBgn0037936"	11688381	11690051	"-"	"overlapStart"	15	15	"NearestLocation"	"CG6908"	"uncharacterized protein"
"chr2R"	17097320	17097520	201	"*"	6.53	6.97	6.19	0.78	0.000552	0.187	"3716"	"FBgn0010226"	17093246	17099501	"-"	"inside"	2181	1981	"NearestLocation"	"GstS1"	"Glutathione S transferase S1"
"chr3R"	29935820	29936020	201	"*"	5.34	5.93	4.81	1.12	0.000728	0.241	"9971"	"FBgn0039727"	29935978	29948207	"+"	"overlapStart"	-158	42	"NearestLocation"	"Vps13B"	"Vacuolar protein sorting 13B"
"chr3R"	16025891	16026091	201	"*"	6.83	7.16	6.58	0.57	0.000753	0.241	"8567"	"FBgn0003117"	16026079	16041796	"+"	"overlapStart"	-188	12	"NearestLocation"	"pnr"	"pannier"
"chrX"	361508	361708	201	"*"	5.06	5.6	4.61	0.99	0.000767	0.241	"10328"	"FBgn0266568"	362399	367072	"+"	"upstream"	-891	691	"NearestLocation"	NA	NA
"chr3R"	14373641	14373841	201	"*"	6.26	6.62	5.98	0.65	0.00085	0.247	"8381"	"FBgn0024321"	14329413	14372951	"-"	"upstream"	-690	690	"NearestLocation"	"NK7.1"	"NK7.1"
"chr3L"	15369001	15369201	201	"*"	3.89	4.49	3.36	1.13	0.000865	0.247	"6367"	"FBgn0036494"	15336692	15344315	"+"	"downstream"	32309	24686	"NearestLocation"	"Toll-6"	"Toll-6"
"chr2L"	2428082	2428282	201	"*"	6.2	6.58	5.92	0.67	0.000884	0.247	"254"	"FBgn0000490"	2428372	2459823	"+"	"upstream"	-290	90	"NearestLocation"	"dpp"	"decapentaplegic"
"chr3L"	14329161	14329361	201	"*"	4.68	5.17	4.27	0.9	0.000885	0.247	"6281"	"FBgn0036419"	14329346	14329885	"+"	"overlapStart"	-185	15	"NearestLocation"	"CG13482"	"uncharacterized protein"
"chr2R"	20552038	20552238	201	"*"	5.9	6.31	5.59	0.73	0.000896	0.247	"4100"	"FBgn0034518"	20550334	20552090	"-"	"overlapStart"	52	52	"NearestLocation"	"CG13430"	"uncharacterized protein"
"chr2R"	20552038	20552238	201	"*"	5.9	6.31	5.59	0.73	0.000896	0.247	"4100"	"FBgn0034519"	20550334	20552090	"-"	"overlapStart"	52	52	"NearestLocation"	"BORCS7"	"BLOC-1 related complex subunit 7"
"chr2L"	19398913	19399113	201	"*"	6.87	7.25	6.58	0.67	0.000902	0.247	"1949"	"FBgn0032775"	19390370	19398493	"-"	"upstream"	-420	420	"NearestLocation"	"CG17544"	"uncharacterized protein"
"chr3L"	6550201	6550401	201	"*"	6.07	6.52	5.72	0.79	0.00103	0.276	"5382"	"FBgn0042185"	6550738	6593940	"+"	"upstream"	-537	337	"NearestLocation"	"MCU"	"Mitochondrial calcium uniporter"
"chr3R"	16260920	16261120	201	"*"	6.73	7.13	6.43	0.7	0.0011	0.285	"8598"	"FBgn0040237"	16261355	16264115	"-"	"downstream"	3195	235	"NearestLocation"	"bor"	"belphegor"
"chr3L"	3539610	3539810	201	"*"	4.21	4.76	3.73	1.04	0.00111	0.285	"5136"	"FBgn0266403"	3522850	3523620	"-"	"upstream"	-15990	15990	"NearestLocation"	NA	NA
"chr3R"	23110560	23110760	201	"*"	3.83	4.48	3.24	1.23	0.00115	0.289	"9296"	"FBgn0039054"	23070516	23112730	"-"	"inside"	2170	1970	"NearestLocation"	"Cow"	"Carrier of Wingless"
"chr2R"	25183017	25183217	201	"*"	6.77	7.11	6.52	0.59	0.00117	0.29	"4657"	"FBgn0004181"	25175126	25176715	"-"	"upstream"	-6302	6302	"NearestLocation"	"Ebp"	"Ejaculatory bulb protein"
"chr3R"	19404381	19404581	201	"*"	4.71	3.99	5.01	-1.02	0.0012	0.29	"8903"	"FBgn0038704"	19403455	19406294	"+"	"inside"	926	926	"NearestLocation"	"CG5316"	"uncharacterized protein"
"chr3R"	26117539	26117739	201	"*"	7.78	8.09	7.55	0.54	0.00132	0.305	"9641"	"FBgn0267729"	26124809	26125423	"-"	"downstream"	7884	7070	"NearestLocation"	NA	NA
"chr3R"	30152241	30152441	201	"*"	4.02	4.58	3.52	1.06	0.00135	0.305	"10008"	"FBgn0039748"	30152059	30153699	"+"	"inside"	182	182	"NearestLocation"	"CG15529"	"uncharacterized protein"
"chr3R"	16157923	16158123	201	"*"	6.38	6.79	6.06	0.73	0.00136	0.305	"8582"	"FBgn0063649"	16154982	16171766	"+"	"inside"	2941	2941	"NearestLocation"	"CG6006"	"uncharacterized protein"
"chr2R"	15744675	15744875	201	"*"	4.07	4.63	3.59	1.04	0.00139	0.305	"3550"	"FBgn0050089"	15727381	15762044	"+"	"inside"	17294	17169	"NearestLocation"	"CG30089"	"uncharacterized protein"
"chr3R"	22598864	22599064	201	"*"	5.13	5.65	4.69	0.96	0.0014	0.305	"9246"	"FBgn0038993"	22609485	22610715	"+"	"upstream"	-10621	10421	"NearestLocation"	"CG13843"	"uncharacterized protein"
"chr2R"	16138882	16139082	201	"*"	6.76	7.13	6.49	0.64	0.00141	0.305	"3609"	"FBgn0001124"	16138352	16141928	"+"	"inside"	530	530	"NearestLocation"	"Got1"	"Glutamate oxaloacetate transaminase 1"
"chr3R"	22049401	22049601	201	"*"	4.68	5.23	4.2	1.03	0.00144	0.306	"9189"	"FBgn0264491"	22042191	22079321	"+"	"inside"	7210	7210	"NearestLocation"	"how"	"held out wings"
"chr2L"	20290862	20291062	201	"*"	5.07	5.53	4.71	0.81	0.00157	0.33	"2039"	"FBgn0040996"	20294693	20295804	"+"	"upstream"	-3831	3631	"NearestLocation"	"CG12617"	"uncharacterized protein"
"chrX"	1481517	1481717	201	"*"	5.21	5.67	4.85	0.82	0.0017	0.351	"10447"	"FBgn0044508"	1482492	1482590	"-"	"downstream"	1073	775	"NearestLocation"	NA	NA
"chr3R"	29772082	29772282	201	"*"	7.83	8.15	7.6	0.55	0.0018	0.355	"9941"	"FBgn0267779"	29774324	29775051	"-"	"downstream"	2969	2042	"NearestLocation"	NA	NA
"chr3R"	12962686	12962886	201	"*"	3.97	3.2	4.29	-1.09	0.0018	0.355	"8230"	"FBgn0038095"	12963791	12965923	"+"	"upstream"	-1105	905	"NearestLocation"	"Cyp304a1"	"Cyp304a1"
"chr2R"	18134092	18134292	201	"*"	6.45	6.79	6.2	0.59	0.00181	0.355	"3830"	"FBgn0001222"	18130303	18134634	"-"	"inside"	542	342	"NearestLocation"	"Hsf"	"Heat shock factor"
"chr3L"	19292672	19292872	201	"*"	6.35	6.69	6.11	0.58	0.00187	0.362	"6863"	"FBgn0036862"	19281364	19292766	"-"	"overlapStart"	94	94	"NearestLocation"	"Gbs-76A"	"Glycogen binding subunit 76A"
"chr2R"	20437872	20438072	201	"*"	4.83	5.32	4.42	0.9	0.00194	0.37	"4094"	"FBgn0086604"	20424338	20478951	"+"	"inside"	13534	13534	"NearestLocation"	"side-VIII"	"sidestep VIII"
"chr3L"	15048228	15048428	201	"*"	3.94	4.49	3.46	1.03	0.00201	0.377	"6338"	"FBgn0263761"	15049179	15049495	"-"	"downstream"	1267	751	"NearestLocation"	"CG43678"	"uncharacterized protein"
"chr3R"	21386200	21386400	201	"*"	4.58	5.07	4.19	0.88	0.00217	0.402	"9116"	"FBgn0004862"	21388880	21390449	"+"	"upstream"	-2680	2480	"NearestLocation"	"bap"	"bagpipe"
"chr3L"	21049693	21049893	201	"*"	6.52	6.88	6.26	0.62	0.00222	0.404	"7043"	"FBgn0026179"	21034535	21075444	"+"	"inside"	15158	15158	"NearestLocation"	"siz"	"schizo"
"chrY_CP007111v1_random"	13378	13578	201	"*"	5.27	4.62	5.55	-0.93	0.00228	0.404	"12572"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"chr3L"	16613057	16613257	201	"*"	6.42	6.76	6.17	0.59	0.00228	0.404	"6525"	"FBgn0267525"	16612500	16612827	"-"	"upstream"	-230	230	"NearestLocation"	NA	NA
"chr2R"	8222246	8222446	201	"*"	4.16	4.72	3.67	1.05	0.00232	0.405	"2622"	"FBgn0085246"	8227990	8228727	"-"	"downstream"	6481	5544	"NearestLocation"	"CG34217"	"uncharacterized protein"
"chr3L"	17499446	17499646	201	"*"	5.73	6.21	5.35	0.85	0.00235	0.405	"6630"	"FBgn0052185"	17494880	17495300	"+"	"downstream"	4566	4146	"NearestLocation"	"edin"	"elevated during infection"
"chr3R"	13794600	13794800	201	"*"	6.5	6.82	6.27	0.55	0.00238	0.405	"8303"	"FBgn0051588"	13797953	13798025	"+"	"upstream"	-3353	3153	"NearestLocation"	NA	NA
"chr2R"	24167959	24168159	201	"*"	4.43	4.91	4.03	0.88	0.00243	0.405	"4538"	"FBgn0034985"	24162489	24173660	"+"	"inside"	5470	5470	"NearestLocation"	"CG3328"	"uncharacterized protein"
"chr3R"	30203519	30203719	201	"*"	7.1	7.41	6.88	0.52	0.00245	0.405	"10015"	"FBgn0039756"	30196360	30202998	"-"	"upstream"	-521	521	"NearestLocation"	"CG9743"	"uncharacterized protein"
"chr2R"	8337030	8337230	201	"*"	5.21	5.66	4.85	0.81	0.00262	0.428	"2630"	"FBgn0261588"	8327490	8396280	"+"	"inside"	9540	9540	"NearestLocation"	"pdm3"	"pou domain motif 3"
"chr3L"	14274145	14274345	201	"*"	6.25	6.62	5.97	0.65	0.00266	0.428	"6278"	"FBgn0001085"	14274343	14368639	"+"	"overlapStart"	-198	2	"NearestLocation"	"fz"	"frizzled"
"chr3R"	14931267	14931467	201	"*"	3.25	3.88	2.67	1.21	0.00277	0.441	"8458"	"FBgn0267158"	14923203	14923761	"-"	"upstream"	-7506	7506	"NearestLocation"	NA	NA
"chr3L"	16480494	16480694	201	"*"	3.81	2.97	4.14	-1.17	0.00285	0.446	"6509"	"FBgn0004569"	16470386	16483650	"-"	"inside"	3156	2956	"NearestLocation"	"aos"	"argos"
"chr2L"	16587911	16588111	201	"*"	5.93	6.31	5.64	0.68	0.00292	0.446	"1705"	"FBgn0051815"	16605822	16607321	"+"	"upstream"	-17911	17711	"NearestLocation"	"CG31815"	"uncharacterized protein"
"chr3R"	16222209	16222409	201	"*"	5.1	5.51	4.78	0.74	0.00294	0.446	"8594"	"FBgn0267203"	16223395	16223854	"+"	"upstream"	-1186	986	"NearestLocation"	NA	NA
"chr2L"	21196378	21196578	201	"*"	3.62	2.8	3.95	-1.15	0.00305	0.446	"2142"	"FBgn0011829"	21182446	21198762	"-"	"inside"	2384	2184	"NearestLocation"	"Ret"	"Ret oncogene"
"chr3R"	23175263	23175463	201	"*"	4.81	5.26	4.46	0.8	0.0031	0.446	"9306"	"FBgn0284226"	23173873	23185642	"+"	"inside"	1390	1390	"NearestLocation"	"CG46310"	"uncharacterized protein"
"chr3R"	29876964	29877164	201	"*"	7.11	7.46	6.84	0.63	0.00314	0.446	"9963"	"FBgn0051038"	29877059	29903231	"+"	"overlapStart"	-95	95	"NearestLocation"	"CG31038"	"uncharacterized protein"
"chr3R"	14687387	14687587	201	"*"	5.37	5.81	5.03	0.77	0.00315	0.446	"8422"	"FBgn0265140"	14664907	14697292	"-"	"inside"	9905	9705	"NearestLocation"	"Meltrin"	"meltrin"
"chr3R"	24233627	24233827	201	"*"	6.57	6.9	6.34	0.56	0.00316	0.446	"9450"	"FBgn0266744"	24229898	24231364	"-"	"upstream"	-2263	2263	"NearestLocation"	NA	NA
"chr2R"	23383348	23383548	201	"*"	6.7	7.04	6.45	0.59	0.00317	0.446	"4402"	"FBgn0266011"	23383483	23384177	"+"	"overlapStart"	-135	65	"NearestLocation"	NA	NA
"chr3R"	8823212	8823412	201	"*"	6.22	6.55	5.98	0.58	0.00319	0.446	"7770"	"FBgn0037637"	8822849	8824177	"-"	"inside"	965	363	"NearestLocation"	"IscU"	"Iron-sulfur cluster assembly enzyme"
"chrX"	2646045	2646245	201	"*"	7.63	7.9	7.44	0.46	0.00323	0.446	"10619"	"FBgn0003371"	2633952	2679553	"+"	"inside"	12093	12093	"NearestLocation"	"sgg"	"shaggy"
"chr3R"	12372836	12373036	201	"*"	5.97	6.36	5.67	0.69	0.00326	0.446	"8168"	"FBgn0010039"	12373068	12373813	"+"	"upstream"	-232	32	"NearestLocation"	"GstD3"	"Glutathione S transferase D3"
"chrX"	16633596	16633796	201	"*"	6.46	6.76	6.26	0.5	0.00331	0.446	"12043"	"FBgn0286878"	16633124	16633208	"-"	"upstream"	-388	388	"NearestLocation"	NA	NA
"chr3R"	24057282	24057482	201	"*"	6.69	7.08	6.39	0.69	0.00338	0.446	"9424"	"FBgn0001230"	24055080	24057310	"-"	"overlapStart"	28	28	"NearestLocation"	"Hsp68"	"Heat shock protein 68"
"chr2R"	20106499	20106699	201	"*"	7.33	7.65	7.1	0.55	0.0034	0.446	"4066"	"FBgn0004364"	20111511	20116932	"+"	"upstream"	-5012	4812	"NearestLocation"	"18w"	"18 wheeler"
"chr2R"	17485745	17485945	201	"*"	2.71	1.29	3.18	-1.88	0.00343	0.446	"3762"	"FBgn0262570"	17477565	17486220	"-"	"inside"	475	275	"NearestLocation"	"CG43110"	"uncharacterized protein"
"chr2L"	4080571	4080771	201	"*"	5.27	4.77	5.5	-0.73	0.00349	0.446	"444"	"FBgn0266319"	4074279	4075952	"-"	"upstream"	-4619	4619	"NearestLocation"	NA	NA
"chr4"	60102	60302	201	"*"	5.42	5.84	5.1	0.74	0.00353	0.446	"10196"	"FBgn0004859"	47710	57041	"-"	"upstream"	-3061	3061	"NearestLocation"	"ci"	"cubitus interruptus"
"chr2R"	15146015	15146215	201	"*"	3.34	2.31	3.72	-1.4	0.00354	0.446	"3489"	"FBgn0262954"	15144968	15145519	"-"	"upstream"	-496	496	"NearestLocation"	"Rpb12"	"Rpb12"
"chr2R"	11648504	11648704	201	"*"	6.38	6.75	6.11	0.65	0.00355	0.446	"3048"	"FBgn0033639"	11641477	11651616	"-"	"inside"	3112	2912	"NearestLocation"	"CG9003"	"uncharacterized protein"
"chr3L"	19791441	19791641	201	"*"	7.66	7.96	7.44	0.52	0.00355	0.446	"6898"	"FBgn0261360"	19719527	19793569	"-"	"inside"	2128	1928	"NearestLocation"	"CG42637;Gyc76C"	"uncharacterized protein;Guanylyl cyclase at 76C"
"chr3L"	19791441	19791641	201	"*"	7.66	7.96	7.44	0.52	0.00355	0.446	"6898"	"FBgn0266136"	19750943	19793569	"-"	"inside"	2128	1928	"NearestLocation"	"CG42637;Gyc76C"	"uncharacterized protein;Guanylyl cyclase at 76C"
"chr2R"	15613751	15613951	201	"*"	7.78	8.13	7.52	0.61	0.00365	0.454	"3533"	"FBgn0260429"	15613854	15657214	"+"	"overlapStart"	-103	97	"NearestLocation"	"CG42524"	"uncharacterized protein"
"chr3R"	7523806	7524006	201	"*"	5.59	5.97	5.3	0.67	0.00371	0.457	"7641"	"FBgn0015575"	7519563	7523753	"-"	"upstream"	-53	53	"NearestLocation"	"alpha-Est7"	"alpha-Esterase-7"
"chr2L"	19716159	19716359	201	"*"	4.15	4.67	3.71	0.97	0.00379	0.463	"1992"	"FBgn0005590"	19699379	19700968	"-"	"upstream"	-15191	15191	"NearestLocation"	"scw"	"screw"
"chrX"	13277763	13277963	201	"*"	6.42	6.76	6.17	0.59	0.00385	0.466	"11679"	"FBgn0041210"	13262687	13285632	"-"	"inside"	7869	7669	"NearestLocation"	"HDAC4"	"Histone deacetylase 4"
"chrX"	7627052	7627252	201	"*"	7.54	7.8	7.35	0.45	0.00398	0.477	"11076"	"FBgn0004198"	7608428	7678859	"+"	"inside"	18624	18624	"NearestLocation"	"ct"	"cut"
"chr2R"	24187488	24187688	201	"*"	6.31	6.66	6.05	0.61	0.00405	0.477	"4540"	"FBgn0266083"	24186703	24195290	"+"	"inside"	785	785	"NearestLocation"	"ocm"	"over compensating males"
"chr2R"	21497450	21497650	201	"*"	7.9	8.18	7.7	0.48	0.00409	0.477	"4201"	"FBgn0010470"	21487167	21497929	"-"	"inside"	479	279	"NearestLocation"	"Fkbp14"	"FK506-binding protein 14"
"chr3R"	18481717	18481917	201	"*"	6.34	6.73	6.04	0.69	0.00412	0.477	"8817"	"FBgn0004652"	18414273	18545586	"-"	"inside"	63869	63669	"NearestLocation"	"fru"	"fruitless"
"chr3R"	16969568	16969768	201	"*"	6.09	6.44	5.82	0.61	0.00414	0.477	"8669"	"FBgn0000015"	16927212	16972236	"-"	"inside"	2668	2468	"NearestLocation"	"Abd-B"	"Abdominal B"
"chrX"	3743461	3743661	201	"*"	7.74	7.99	7.57	0.42	0.00427	0.488	"10720"	"FBgn0283657"	3720007	3789770	"+"	"inside"	23454	23454	"NearestLocation"	"Tlk"	"Tousled-like kinase"
"chr3L"	18185661	18185861	201	"*"	7.8	8.08	7.6	0.47	0.00431	0.488	"6749"	"FBgn0003997"	18167745	18185641	"-"	"upstream"	-20	20	"NearestLocation"	"hid"	"head involution defective"
"chr3L"	19140422	19140622	201	"*"	5.42	5.81	5.12	0.69	0.00442	0.497	"6840"	"FBgn0036851"	19105381	19138975	"-"	"upstream"	-1447	1447	"NearestLocation"	"CG14082"	"uncharacterized protein"
"chrX"	11764614	11764814	201	"*"	6.63	6.98	6.37	0.61	0.00462	0.498	"11548"	"FBgn0030332"	11763474	11764590	"-"	"upstream"	-24	24	"NearestLocation"	"CG9360"	"uncharacterized protein"
"chrX"	20159074	20159274	201	"*"	7.44	7.72	7.25	0.47	0.00465	0.498	"12439"	"FBgn0031090"	20155766	20159872	"-"	"inside"	798	598	"NearestLocation"	"Rab35"	"Rab35"
