"peak.x","Chr.x","Start.x","End.x","Annotation.x","Detailed.Annotation.x","Distance.to.TSS.x","Nearest.PromoterID.x","Entrez.ID.x","Nearest.Unigene.x","Nearest.Refseq","Gene.Name.x","Gene.Alias.x","Gene.Description.x","Gene.Type.x","Conc.x","Conc_group1.x","Conc_group2.x","Fold.x","p.value.x","FDR.x","peak.y","Chr.y","Start.y","End.y","Annotation.y","Detailed.Annotation.y","Distance.to.TSS.y","Nearest.PromoterID.y","Entrez.ID.y","Nearest.Unigene.y","Gene.Name.y","Gene.Alias.y","Gene.Description.y","Gene.Type.y","Conc.y","Conc_group1.y","Conc_group2.y","Fold.y","p.value.y","FDR.y"
283,"chr2L",2922227,2922426,"intron (NM_001144301, intron 2 of 10)","intron (NM_001144301, intron 2 of 10)",-24237,"NM_001144300",33496,"Dm.2778","NM_078740","lilli","154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Dmel\CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124","lilliputian","protein-coding",7.07,6.75,7.34,-0.59,5e-05,0.00155,273,"chr2L",2925546,2925745,"intron (NM_001144303, intron 2 of 11)","intron (NM_001144303, intron 2 of 11)",-20918,"NM_001144300",33496,"Dm.2778","lilli","154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Dmel\CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124","lilliputian","protein-coding",5.2,4.79,5.52,-0.73,0.000612,0.0613
6166,"chr3L",17211671,17211870,"intron (NM_001104161, intron 3 of 9)","CpG",26442,"NM_168718",39919,"Dm.22292","NM_168718","Rbp6","BcDNA:RE25373|CG14055|CG14056|CG32169|CG6573|Dmel\CG32169|RRM6|rbp6|rrm6","RNA-binding protein 6","protein-coding",5.52,5.82,5.15,0.67,0.00187,0.0221,5790,"chr3L",17202585,17202784,"intron (NM_001104161, intron 3 of 9)","intron (NM_001104161, intron 3 of 9)",35528,"NM_001275050",39919,"Dm.22292","Rbp6","BcDNA:RE25373|CG14055|CG14056|CG32169|CG6573|Dmel\CG32169|RRM6|rbp6|rrm6","RNA-binding protein 6","protein-coding",5.01,5.29,4.65,0.64,0.000551,0.0575
6166,"chr3L",17211671,17211870,"intron (NM_001104161, intron 3 of 9)","CpG",26442,"NM_168718",39919,"Dm.22292","NM_168718","Rbp6","BcDNA:RE25373|CG14055|CG14056|CG32169|CG6573|Dmel\CG32169|RRM6|rbp6|rrm6","RNA-binding protein 6","protein-coding",5.52,5.82,5.15,0.67,0.00187,0.0221,5792,"chr3L",17220572,17220771,"intron (NM_001104161, intron 3 of 9)","intron (NM_001104161, intron 3 of 9)",17541,"NM_001275050",39919,"Dm.22292","Rbp6","BcDNA:RE25373|CG14055|CG14056|CG32169|CG6573|Dmel\CG32169|RRM6|rbp6|rrm6","RNA-binding protein 6","protein-coding",5.03,5.36,4.61,0.75,3.35e-05,0.00748
11385,"chrX",18548488,18548687,"intron (NM_001272758, intron 1 of 3)","intron (NM_001272758, intron 1 of 3)",13924,"NM_176758",32846,"Dm.2877","NM_078678","Bx","Bd|CG10548|CG15048|CG44425|CG6500|DLMO|Dlmo|Dmel\CG44425|Dmel_CG15048|Dmel_CG6500|LMO|Lmo|Ptd|Rho|beadex/dLMO|bx|dLMO|dLmo|dlmo|dttg|fliH|hdp|hdp-a|hld","Beadex","protein-coding",5.56,5.95,5.03,0.92,6.18e-06,0.000323,10676,"chrX",18549097,18549296,"intron (NM_001272758, intron 1 of 3)","CpG",14533,"NM_001272758",32846,"Dm.2877","Bx","Bd|CG10548|CG15048|CG44425|CG6500|DLMO|Dlmo|Dmel\CG44425|Dmel_CG15048|Dmel_CG6500|LMO|Lmo|Ptd|Rho|beadex/dLMO|bx|dLMO|dLmo|dlmo|dttg|fliH|hdp|hdp-a|hld","Beadex","protein-coding",5.12,4.57,5.52,-0.95,1.16e-06,0.000453
4577,"chr3L",1610499,1610698,"TTS (NM_139375)","TTS (NM_139375)",3912,"NM_001274339",38190,"Dm.29553","NM_139375","CG12105","Dmel\CG12105","uncharacterized protein","protein-coding",6.58,6.78,6.36,0.42,0.0164,0.0977,4297,"chr3L",1610469,1610668,"TTS (NM_139375)","TTS (NM_139375)",3942,"NM_001274339",38190,"Dm.29553","CG12105","Dmel\CG12105","uncharacterized protein","protein-coding",5.86,6.11,5.55,0.57,0.00083,0.0726
4577,"chr3L",1610499,1610698,"TTS (NM_139375)","TTS (NM_139375)",3912,"NM_001274339",38190,"Dm.29553","NM_139375","CG12105","Dmel\CG12105","uncharacterized protein","protein-coding",6.58,6.78,6.36,0.42,0.0164,0.0977,4298,"chr3L",1614451,1614650,"promoter-TSS (NM_001274339)","promoter-TSS (NM_001274339)",-40,"NM_001274339",38190,"Dm.29553","CG12105","Dmel\CG12105","uncharacterized protein","protein-coding",6.32,6.54,6.06,0.49,0.000804,0.0715
7793,"chr3R",14429905,14430104,"intron (NM_001104316, intron 3 of 14)","intron (NM_001104316, intron 3 of 14)",-7455,"NR_074013",14462471,"","NR_074013","asRNA:CR44176","CR44176|Dmel\CR44176","antisense RNA:CR44176","ncRNA",6.48,6.71,6.21,0.5,0.00842,0.0628,7306,"chr3R",14435935,14436134,"intron (NM_001104316, intron 2 of 14)","intron (NM_001104316, intron 2 of 14)",-13485,"NR_074013",14462471,"","asRNA:CR44176","CR44176|Dmel\CR44176","antisense RNA:CR44176","ncRNA",4.54,4.85,4.15,0.7,0.000709,0.0661
1511,"chr2L",15333612,15333811,"promoter-TSS (NM_057252)","promoter-TSS (NM_057252)",-155,"NM_057252",34903,"Dm.4764","NM_057252","esg","4B7|BG:DS07851.7|CG3758|Dmel\CG3758|Esg|br43|dgl|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz","escargot","protein-coding",7.19,7.49,6.8,0.69,0.000227,0.0047,1431,"chr2L",15339609,15339808,"Intergenic","Intergenic",5842,"NM_057252",34903,"Dm.4764","esg","4B7|BG:DS07851.7|CG3758|Dmel\CG3758|Esg|br43|dgl|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz","escargot","protein-coding",6.6,7.07,5.9,1.17,3.35e-16,6.11e-13
1511,"chr2L",15333612,15333811,"promoter-TSS (NM_057252)","promoter-TSS (NM_057252)",-155,"NM_057252",34903,"Dm.4764","NM_057252","esg","4B7|BG:DS07851.7|CG3758|Dmel\CG3758|Esg|br43|dgl|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz","escargot","protein-coding",7.19,7.49,6.8,0.69,0.000227,0.0047,1430,"chr2L",15333646,15333845,"promoter-TSS (NM_057252)","promoter-TSS (NM_057252)",-121,"NM_057252",34903,"Dm.4764","esg","4B7|BG:DS07851.7|CG3758|Dmel\CG3758|Esg|br43|dgl|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz","escargot","protein-coding",6.75,7.07,6.35,0.72,1.13e-06,0.000453
2941,"chr2R",12438818,12439017,"intron (NM_001032237, intron 1 of 6)","CpG",1572,"NM_078988",36362,"","NM_078988","Dyb","CG8529|DmDYB|Dmel\CG8529","Dystrobrevin","protein-coding",6.25,5.93,6.52,-0.58,0.00122,0.0165,2750,"chr2R",12438844,12439043,"intron (NM_001032237, intron 1 of 6)","CpG",1598,"NM_001032236",36362,"","Dyb","CG8529|DmDYB|Dmel\CG8529","Dystrobrevin","protein-coding",6.05,5.78,6.28,-0.5,0.000702,0.0661
2665,"chr2R",10211123,10211322,"non-coding (NR_144681, exon 1 of 2)","non-coding (NR_144681, exon 1 of 2)",125,"NR_144681",30522429,"","NR_144681","lncRNA:CR46322","CR46322|Dmel\CR46322","long non-coding RNA:CR46322","ncRNA",6.96,7.18,6.71,0.47,0.000705,0.0109,2492,"chr2R",10211105,10211304,"non-coding (NR_144681, exon 1 of 2)","non-coding (NR_144681, exon 1 of 2)",143,"NR_144681",30522429,"","lncRNA:CR46322","CR46322|Dmel\CR46322","long non-coding RNA:CR46322","ncRNA",6.71,6.45,6.94,-0.49,0.000713,0.0661
464,"chr2L",4895113,4895312,"intron (NM_001273129, intron 2 of 6)","intron (NM_001273129, intron 2 of 6)",3100,"NM_135029",33695,"Dm.33536","NM_135029","CG3036","151989_at|CT10168|Dmel\CG3036","uncharacterized protein","protein-coding",6.39,6.09,6.64,-0.55,0.00131,0.0172,446,"chr2L",4891962,4892161,"promoter-TSS (NM_135029)","promoter-TSS (NM_135029)",-51,"NM_135029",33695,"Dm.33536","CG3036","151989_at|CT10168|Dmel\CG3036","uncharacterized protein","protein-coding",7.72,7.92,7.5,0.42,0.000148,0.0234
6933,"chr3R",5315151,5315350,"intron (NM_001031977, intron 2 of 18)","intron (NM_001031977, intron 2 of 18)",-7151,"NM_206429",45467,"Dm.24822","NM_143760","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",5.86,6.1,5.56,0.54,0.00504,0.0432,6483,"chr3R",5289191,5289390,"intron (NM_001031977, intron 15 of 18)","intron (NM_001031977, intron 15 of 18)",-1970,"NM_170642",45467,"Dm.24822","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",5.44,5.72,5.11,0.61,0.000819,0.0722
6931,"chr3R",5308168,5308367,"promoter-TSS (NM_206429)","promoter-TSS (NM_206429)",-168,"NM_206429",45467,"Dm.24822","NM_143760","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",6.35,6.55,6.13,0.42,0.0119,0.0787,6483,"chr3R",5289191,5289390,"intron (NM_001031977, intron 15 of 18)","intron (NM_001031977, intron 15 of 18)",-1970,"NM_170642",45467,"Dm.24822","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",5.44,5.72,5.11,0.61,0.000819,0.0722
7912,"chr3R",15466175,15466374,"intron (NM_206496, intron 1 of 16)","intron (NM_206496, intron 1 of 16)",-2765,"NM_001275675",41887,"Dm.11730","NM_169659","AdamTS-A","CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy","ADAM metallopeptidase with thrombospondin type 1 motif A","protein-coding",5.64,5.88,5.36,0.52,0.00743,0.0573,7411,"chr3R",15466151,15466350,"intron (NM_206496, intron 1 of 16)","intron (NM_206496, intron 1 of 16)",-2741,"NM_001275675",41887,"Dm.11730","AdamTS-A","CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy","ADAM metallopeptidase with thrombospondin type 1 motif A","protein-coding",4.91,5.27,4.43,0.85,3.19e-05,0.00728
9094,"chr3R",27659222,27659421,"intron (NM_001300640, intron 2 of 5)","intron (NM_001300640, intron 2 of 5)",856,"NM_057291",43323,"Dm.6719","NM_057291","Mlc1","CG5596|DmMLC1|Dmel\CG5596|ELC|ELC2|ELC_3|LC1|MLC|MLC-ALK|MLC1|Mlc-1|MlcI|Mlci|chr3R:23484557..23484663|mlc|mlc-alk|mlc1|mlcl","Myosin alkali light chain 1","protein-coding",6.92,7.21,6.55,0.66,0.000941,0.0137,8527,"chr3R",27660251,27660450,"promoter-TSS (NM_057292)","promoter-TSS (NM_057292)",-173,"NM_057291",43323,"Dm.6719","Mlc1","CG5596|DmMLC1|Dmel\CG5596|ELC|ELC2|ELC_3|LC1|MLC|MLC-ALK|MLC1|Mlc-1|MlcI|Mlci|chr3R:23484557..23484663|mlc|mlc-alk|mlc1|mlcl","Myosin alkali light chain 1","protein-coding",7.04,7.22,6.83,0.39,0.00104,0.0816
4437,"chr3L",586521,586720,"intron (NM_138196, intron 1 of 3)","intron (NM_138196, intron 1 of 3)",2654,"NM_138196",38072,"Dm.24590","NM_138196","Kah","CG17181|Dmel\CG17181|kah","Kahuli","protein-coding",6.72,6.95,6.45,0.49,0.00625,0.0507,4170,"chr3L",586461,586660,"intron (NM_138196, intron 1 of 3)","intron (NM_138196, intron 1 of 3)",2714,"NM_138196",38072,"Dm.24590","Kah","CG17181|Dmel\CG17181|kah","Kahuli","protein-coding",6.3,6.57,5.96,0.61,0.000394,0.0466
7405,"chr3R",10268290,10268489,"intron (NM_001260090, intron 1 of 13)","CpG",4083,"NM_169337",41256,"Dm.13374","NM_141734","Nuak1","CG11870|CG11871|CG11872|CG43143|Dmel\CG43143|Dmel_CG11870|Dmel_CG11872|EMK/KIAA0537|NUAK|Omphk1","Nuak1 ortholog","protein-coding",6.9,6.64,7.11,-0.48,0.00176,0.0212,6945,"chr3R",10284481,10284680,"promoter-TSS (NM_206470)","promoter-TSS (NM_206470)",-10,"NM_206470",41256,"Dm.13374","Nuak1","CG11870|CG11871|CG11872|CG43143|Dmel\CG43143|Dmel_CG11870|Dmel_CG11872|EMK/KIAA0537|NUAK|Omphk1","Nuak1 ortholog","protein-coding",7.12,7.27,6.95,0.32,0.00094,0.0762
9562,"chr4",1268519,1268718,"intron (NM_001031858, intron 21 of 22)","PROTOP|DNA|P",36735,"NM_001031860",49968,"Dm.6976","NM_001031858","Cadps","BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb","Calcium-dependent secretion activator","protein-coding",5.99,5.37,6.43,-1.06,1.77e-08,4.81e-06,8950,"chr4",1272350,1272549,"TTS (NM_001258511)","TTS (NM_001258511)",40566,"NM_001031860",49968,"Dm.6976","Cadps","BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb","Calcium-dependent secretion activator","protein-coding",4.96,4.17,5.47,-1.3,4.52e-08,2.6e-05
1583,"chr2L",16637422,16637621,"intron (NM_001273575, intron 4 of 6)","intron (NM_001273575, intron 4 of 6)",-8348,"NR_073791",14462786,"","NR_073791","lncRNA:CR44151","CR44151|Dmel\CR44151","long non-coding RNA:CR44151","ncRNA",6.91,7.2,6.56,0.63,6.73e-06,0.000346,1495,"chr2L",16631628,16631827,"intron (NM_135957, intron 3 of 5)","intron (NM_135957, intron 3 of 5)",-2554,"NR_073791",14462786,"","lncRNA:CR44151","CR44151|Dmel\CR44151","long non-coding RNA:CR44151","ncRNA",5.3,5.66,4.83,0.82,8.26e-05,0.0156
1581,"chr2L",16629035,16629234,"promoter-TSS (NR_073791)","promoter-TSS (NR_073791)",39,"NR_073791",14462786,"","NR_073791","lncRNA:CR44151","CR44151|Dmel\CR44151","long non-coding RNA:CR44151","ncRNA",4.9,5.38,4.2,1.18,2.01e-06,0.000142,1495,"chr2L",16631628,16631827,"intron (NM_135957, intron 3 of 5)","intron (NM_135957, intron 3 of 5)",-2554,"NR_073791",14462786,"","lncRNA:CR44151","CR44151|Dmel\CR44151","long non-coding RNA:CR44151","ncRNA",5.3,5.66,4.83,0.82,8.26e-05,0.0156
9560,"chr4",1257082,1257281,"intron (NM_001031858, intron 18 of 22)","PROTOP_A|DNA|P",25298,"NM_001031860",49968,"Dm.6976","NM_001031858","Cadps","BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb","Calcium-dependent secretion activator","protein-coding",5.22,4.6,5.64,-1.04,4.17e-06,0.000247,8950,"chr4",1272350,1272549,"TTS (NM_001258511)","TTS (NM_001258511)",40566,"NM_001031860",49968,"Dm.6976","Cadps","BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb","Calcium-dependent secretion activator","protein-coding",4.96,4.17,5.47,-1.3,4.52e-08,2.6e-05
10860,"chrX",13447162,13447361,"intron (NM_001298282, intron 1 of 12)","intron (NM_001298282, intron 1 of 12)",1358,"NM_001298282",32303,"Dm.6259","NM_167371","Neto","CG12727|CG15751|CG15752|CG15753|CG32635|CG44328|CT36003|Dmel\CG44328|Dmel_CG15753|Dmel_CG32635|NETO|net|neto|tld-like","Neuropilin and tolloid-like","protein-coding",5.9,6.17,5.56,0.61,0.00474,0.0414,10185,"chrX",13450482,13450681,"intron (NM_001298282, intron 1 of 12)","intron (NM_001298282, intron 1 of 12)",4678,"NM_167371",32303,"Dm.6259","Neto","CG12727|CG15751|CG15752|CG15753|CG32635|CG44328|CT36003|Dmel\CG44328|Dmel_CG15753|Dmel_CG32635|NETO|net|neto|tld-like","Neuropilin and tolloid-like","protein-coding",6.44,6.68,6.16,0.51,0.000536,0.0564
7794,"chr3R",14450695,14450894,"intron (NM_001104316, intron 2 of 14)","intron (NM_001104316, intron 2 of 14)",-28245,"NR_074013",14462471,"","NR_074013","asRNA:CR44176","CR44176|Dmel\CR44176","antisense RNA:CR44176","ncRNA",5.24,5.53,4.88,0.65,0.00493,0.0426,7306,"chr3R",14435935,14436134,"intron (NM_001104316, intron 2 of 14)","intron (NM_001104316, intron 2 of 14)",-13485,"NR_074013",14462471,"","asRNA:CR44176","CR44176|Dmel\CR44176","antisense RNA:CR44176","ncRNA",4.54,4.85,4.15,0.7,0.000709,0.0661
6935,"chr3R",5322914,5323113,"5' UTR (NM_169039, exon 2 of 18)","5' UTR (NM_169039, exon 2 of 18)",834,"NM_001043213",45467,"Dm.24822","NM_143760","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",5.45,4.79,5.9,-1.12,1.63e-07,2.43e-05,6483,"chr3R",5289191,5289390,"intron (NM_001031977, intron 15 of 18)","intron (NM_001031977, intron 15 of 18)",-1970,"NM_170642",45467,"Dm.24822","mtd","CG10196|CG10199|CG32464|Dmel\CG32464|L(3)82Fd|L82|anon-EST:Posey263|l(3)82FD|l(3)82Fd","mustard","protein-coding",5.44,5.72,5.11,0.61,0.000819,0.0722
