PeakID (cmd=annotatePeaks.pl Kirkland_LamB_DESEQ2.bed dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1631	chr2L	19049024	19049223	+	1.00	NA	promoter-TSS (NM_136092)	promoter-TSS (NM_136092)	47	NM_136092	35174	Dm.6502	NM_136092		CG10470	B2|Dmel\CG10470|TU37B2|TUB2|TuB2|anon-37B-2	uncharacterized protein	protein-coding
1555	chr2L	18443228	18443427	+	1.00	NA	promoter-TSS (NM_165253)	promoter-TSS (NM_165253)	-50	NM_078871	35098	Dm.6957	NM_078871		RpS26	CG10305|Dmel\CG10305|M(2)36F|M(2)S13|M(2)m|M[[s]]|Rps26|anon-EST:fe2A3|l(2)04553|l(2)36Fa|rpS26|rpS31	Ribosomal protein S26	protein-coding
775	chr2L	8094422	8094621	+	1.00	NA	intron (NM_001273295, intron 2 of 7)	intron (NM_001273295, intron 2 of 7)	5418	NM_164789	318841	Dm.20858	NM_164782		Bsg	135/10|BSG|BcDNA:GH21853|CG31605|Dmel\CG31605|NP6293|bsg|gel|l(2)06243|l(2)SH1217|l(2)SH2 1217|l(2)k06338|l(2)k09030|l(2)k13638|l(2)k14308|ms(2)08318	Basigin	protein-coding
2502	chr2R	10773409	10773608	+	1.00	NA	intron (NM_001201975, intron 2 of 8)	intron (NM_001201975, intron 2 of 8)	9361	NM_176144	36131	Dm.10908	NM_176144		CG33144	AAF58756.2|CG12339|CG7621|Dmel\CG33144|lincRNA.281	uncharacterized protein	protein-coding
2233	chr2R	8337024	8337223	+	1.00	NA	intron (NM_001144145, intron 1 of 10)	intron (NM_001144145, intron 1 of 10)	9633	NM_001144145	35813	Dm.13918	NM_136533		pdm3	BcDNA:AT16994|CG11641|CG14755|CG42698|Dmel\CG42698|Dmel_CG11641|Dmel_CG14755|Pdm3	pou domain motif 3	protein-coding
335	chr2L	3507264	3507463	+	1.00	NA	promoter-TSS (NM_001347756)	promoter-TSS (NM_001347756)	-145	NM_001201757	33571	Dm.2663	NM_164540		tim	CG3234|Dmel\CG3234|Ritsu|TIM|Tim|Tim-1|dTIM|dTim|dtim|mel_tim|rit|s-tim|tim1	timeless	protein-coding
2553	chr2R	11202403	11202602	+	1.00	NA	intron (NM_134279, intron 1 of 6)	intron (NM_134279, intron 1 of 6)	-2127	NM_057376	36171	Dm.4730	NM_057375		shn	BEST:SD06302|CG7734|Dmel\CG7734|EP(2)2359|EP2359|SD06302|SHN|Schnurri|Shn|l(2)04738|quo	schnurri	protein-coding
1235	chr2L	13083500	13083699	+	1.00	NA	Intergenic	Intergenic	-6204	NR_073767	14462756		NR_073767		lncRNA:CR44197	CR44197|Dmel\CR44197	long non-coding RNA:CR44197	ncRNA
4766	chr3L	8074046	8074245	+	1.00	NA	promoter-TSS (NM_001104071)	promoter-TSS (NM_001104071)	-161	NM_001104071	38895	Dm.5517	NM_168254		Ect4	CG13680|CG13681|CG34373|CG43119|CG7905|CG7915|Dmel\CG43119|Dmel_CG13680|Dmel_CG13681|Dmel_CG34373|Dmel_CG7915|Ect4/SARM|SARM|Sarm|anon-WO0118547.272|dSARM|dSarm|dsarm|ect4	Ectoderm-expressed 4	protein-coding
133	chr2L	1442525	1442724	+	1.00	NA	promoter-TSS (NM_001298634)	promoter-TSS (NM_001298634)	-3	NM_001298634	12797876	Dm.37565	NM_001258909		CG43402	Dmel\CG43402	uncharacterized protein	protein-coding
4463	chr3L	4071707	4071906	+	1.00	NA	promoter-TSS (NM_079953)	promoter-TSS (NM_079953)	-89	NM_079953	44096	Dm.1805	NM_079953		wit	1262/15|ALK3/BMPRII|BMP|CG10776|Dmel\CG10776|SE20|STK-D|Stk-D|WIT|Wit|Wit-C|l(3)64Aa|l(3)S126215|l(3)SH12	wishful thinking	protein-coding
6353	chr3R	5278283	5278482	+	1.00	NA	promoter-TSS (NM_169046)	promoter-TSS (NM_169046)	-547	NM_169046	318790	Dm.33554	NM_169046		CG31538	BEST:GH11373|BEST:GH20014|BEST:GH27336|BEST:LP11873|BcDNA:AT27831|Dmel\CG31538|NEST:bs02h07|NEST:bs09e09|NEST:bs09g01|NEST:bs10d08|NEST:bs26g11	uncharacterized protein	protein-coding
6884	chr3R	11234967	11235166	+	1.00	NA	promoter-TSS (NM_141802)	promoter-TSS (NM_141802)	-53	NM_141801	41353	Dm.11644	NM_141801		Arfip	CG17184|Dmel\CG17184|arfip|dCG17184-PA	Arfaptin	protein-coding
3255	chr2R	17686541	17686740	+	1.00	NA	promoter-TSS (NM_137402)	promoter-TSS (NM_137402)	-51	NM_137402	37009	Dm.12108	NM_137402		HPS4	CG4966|Dmel\CG4966|NP_725707|dHPS4	Hermansky-Pudlak Syndrome 4	protein-coding
1099	chr2L	11100750	11100949	+	1.00	NA	promoter-TSS (NM_164957)	promoter-TSS (NM_164957)	39	NM_164957	34541	Dm.12439	NM_135642		Ge-1	CG6181|Dmel\CG6181|EDC4|GE-1|Ref(2)Me|dGe-1|ref(2)M	Ge-1	protein-coding
9862	chrX	11917270	11917469	+	1.00	NA	promoter-TSS (NM_167313)	promoter-TSS (NM_167313)	-109	NM_167313	32154	Dm.14808	NM_132540		pot	CG2467|Dmel\CG2467|Pot	papillote	protein-coding
5907	chr3L	19695177	19695376	+	1.00	NA	promoter-TSS (NM_168809)	promoter-TSS (NM_168809)	-16	NM_168808	40149	Dm.11517	NM_168808		verm	CG8756|DmCDA2|Dmel\CG8756|LCBP1|N63|Verm|hlm|l(3)76BDx	vermiform	protein-coding
3651	chr2R	21685187	21685386	+	1.00	NA	promoter-TSS (NM_137760)	promoter-TSS (NM_137760)	3	NM_137760	37475	Dm.3730	NM_137760		eIF3k	CG10306|Dmel\CG10306	eukaryotic translation initiation factor 3 subunit k	protein-coding
9781	chrX	11303206	11303405	+	1.00	NA	promoter-TSS (NM_167277)	promoter-TSS (NM_167277)	-522	NM_001298188	32063	Dm.26604	NM_132471		CG44422	CG11105|CG12625|CG34144|CG42683|Dm_X:57642|Dmel\CG44422|Dmel_CG11105|Dmel_CG12625|Dmel_CG34144|Dmel_CG42683	uncharacterized protein	protein-coding
3535	chr2R	20641627	20641826	+	1.00	NA	promoter-TSS (NM_137657)	promoter-TSS (NM_137657)	-16	NM_137657	37337	Dm.15796	NM_137657		CG11110	Dmel\CG11110	uncharacterized protein	protein-coding
6302	chr3R	4811989	4812188	+	1.00	NA	promoter-TSS (NM_058078)	promoter-TSS (NM_058078)	8	NM_001275338	40598		NM_058078		Hus1-like	CG2525|DmHus1|Dmel\CG2525|Hus-1|Hus1|hus1	Hus1-like	protein-coding
9627	chrX	9319171	9319370	+	1.00	NA	promoter-TSS (NM_144348)	promoter-TSS (NM_144348)	-47	NM_144348	53435	Dm.1999	NM_144348		c12.1	C12.1|CG12135|Dmel\CG12135|cwc15	c12.1	protein-coding
5670	chr3L	17465855	17466054	+	1.00	NA	promoter-TSS (NM_140726)	promoter-TSS (NM_140726)	9	NM_140726	39948	Dm.5861	NM_140726		QIL1	CG7603|Dmel\CG7603	QIL1	protein-coding
1164	chr2L	12097758	12097957	+	1.00	NA	promoter-TSS (NM_135704)	promoter-TSS (NM_135704)	19	NM_135704	34633	Dm.3488	NM_135704		Ced-12	CG5336|Ced12|Dced-12|Dmel\CG5336|ELMO|Elmo|ced-12|ced12|dCed-12|dCed12|dced-12|elmo	Ced-12	protein-coding
8376	chr3R	27988223	27988422	+	1.00	NA	promoter-TSS (NM_143349)	promoter-TSS (NM_143349)	62	NM_001170282	43359	Dm.13754	NM_143349		betaTub97EF	4t|B4t|BETA 98B|CG4869|DTB1|Dmbeta4|Dmel\CG4869|T|Tub|Tub2C|beta-Tub|beta-Tub97EF|beta-tub|beta4|beta4t|beta97F|betaTub4|betaTub98BC|betaTub98C	beta-Tubulin at 97EF	protein-coding
9924	chrX	12897304	12897503	+	1.00	NA	promoter-TSS (NM_167340)	promoter-TSS (NM_167340)	-76	NM_167340	32233	Dm.17481	NM_132606		Pde9	CG1627|CG32648|CG3754|CG3761|CG3765|CG42276|Dmel\CG42276|Dmel_CG32648|Dmel_CG3754|PDE9	Phosphodiesterase 9	protein-coding
2836	chr2R	13858623	13858822	+	1.00	NA	promoter-TSS (NM_137069)	promoter-TSS (NM_137069)	-33	NM_137068	36538		NM_137068		tum	13345|AcGAP|CG13345|DRacGAP|Dmel\CG13345|RacGAP|RacGAP50C|RacGAP50c|RacGap|RacGap50C|RhoGAP-50C14|TUM|Tumbleweed|acGAP|eon|i249|racGAP50|racGAP50C|racGAP50c	tumbleweed	protein-coding
922	chr2L	9554949	9555148	+	1.00	NA	intron (NM_001201828, intron 3 of 8)	CpG	-4031	NM_001103663	34274	Dm.6993	NM_078801		jp	CG13115|CG4405|Dmel\CG4405|JP	junctophilin	protein-coding
3986	chr2R	24875761	24875960	+	1.00	NA	promoter-TSS (NM_166691)	promoter-TSS (NM_166691)	5	NM_166691	246605	Dm.6971	NM_166691		CG30423	BcDNA:RH04491|Dmel\CG30423	uncharacterized protein	protein-coding
4269	chr3L	2170904	2171103	+	1.00	NA	promoter-TSS (NM_143811)	promoter-TSS (NM_143811)	-32	NM_001299983	48613	Dm.11270	NM_143811		CG5704	BEST:LD30049|Dmel\CG5704|LD30049	uncharacterized protein	protein-coding
6412	chr3R	5680442	5680641	+	1.00	NA	TTS (NM_206434)	TTS (NM_206434)	4893	NM_141317	40701	Dm.11663	NM_141317		Rab23	CG2108|DmRab23|Dmel\CG2108|Q9VNG6|rab23	Rab23	protein-coding
6897	chr3R	11449543	11449742	+	1.00	NA	intron (NM_176460, intron 1 of 8)	intron (NM_176460, intron 1 of 8)	1491	NM_001260120	41377	Dm.10830	NM_169390		sals	CG14703|CG31374|CG6771|Dmel\CG31374	sarcomere length short	protein-coding
3696	chr2R	22243097	22243296	+	1.00	NA	promoter-TSS (NM_057894)	promoter-TSS (NM_057894)	-767	NM_057894	37546	Dm.4765	NM_057893		dve	CG5799|DVE|Dmel\CG5799|Dve|Dve-s|SATB1|dep|l(2)01738	defective proventriculus	protein-coding
1638	chr2L	19126999	19127198	+	1.00	NA	promoter-TSS (NM_136103)	promoter-TSS (NM_136103)	-122	NM_136102	35192	Dm.468	NM_136102		l(2)37Cb	CG10689|Cb|Dmel\CG10689|cg10689|l(2)E104	lethal (2) 37Cb	protein-coding
5604	chr3L	16728309	16728508	+	1.00	NA	promoter-TSS (NM_140660)	promoter-TSS (NM_140660)	-419	NM_140660	39870	Dm.24753	NM_140660		PGRP-SB1	142657_at|CG9681|Dmel\CG9681|PGRP SB1|PGRP-SB	Peptidoglycan recognition protein SB1	protein-coding
1629	chr2L	19041786	19041985	+	1.00	NA	promoter-TSS (NM_080192)	promoter-TSS (NM_080192)	23	NM_080192	48805	Dm.12530	NM_080192		Catsup	Bc|CATSUP|CG10449|Dmel\CG10449|ZipCatsup|catsup|cg10449|dCATSUP|dZipCATSUP|dZipCatsup|fs(2)ltoQT50|l(2)37Bc|l(2)E13|l(2)k05402|l(2)k05424	Catecholamines up	protein-coding
6375	chr3R	5438861	5439060	+	1.00	NA	intron (NM_001275352, intron 3 of 7)	intron (NM_001275352, intron 3 of 7)	-11703	NM_141279	40651	Dm.13329	NM_141279		CG12147	CKIalpha like|Dmel\CG12147	uncharacterized protein	protein-coding
885	chr2L	9131115	9131314	+	1.00	NA	intron (NM_001273348, intron 2 of 8)	intron (NM_001273348, intron 2 of 8)	5477	NM_001169445	34237	Dm.6376	NM_176001		CG32982	CG18566|CG9584|CG9585|Dmel\CG32982|p78	uncharacterized protein	protein-coding
1386	chr2L	15060683	15060882	+	1.00	NA	promoter-TSS (NM_001316394)	promoter-TSS (NM_001316394)	-25	NM_057619	34883	Dm.3045	NM_057619		TfIIS	BG:DS00929.12|CG3710|DmS-II|DmSII|Dmel\CG3710|RnpSII|TFIIS|TFIISA|TFS-II|br52|l(2)35Cf|l(2)35cF|l(2)br52|l35Cf	RNA polymerase II elongation factor	protein-coding
3273	chr2R	17792612	17792811	+	1.00	NA	promoter-TSS (NM_137427)	promoter-TSS (NM_137427)	-159	NM_001299621	37037	Dm.2035	NM_137427		Dhit	CG5036|Dmel\CG5036|EG:52C10.2|dhit	Double hit	protein-coding
5501	chr3L	15899019	15899218	+	1.00	NA	promoter-TSS (NM_001274971)	promoter-TSS (NM_001274971)	-89	NM_001274965	39730	Dm.4038	NM_001038934		pHCl-1	BP1024|BcDNA:GH21757|CG12486|CG13444|CG33989|CG44099|CG6112|CT19189|Dmel\CG44099|Dmel_CG12486|Dmel_CG33989|pHCL-A|pHCl	pH-sensitive chloride channel 1	protein-coding
9097	chrX	3369488	3369687	+	1.00	NA	Intergenic	Intergenic	-3572	NR_123782	19835087		NR_123782		lncRNA:CR44999	CR44999|Dmel\CR44999	long non-coding RNA:CR44999	ncRNA
4013	chr2R	25165236	25165435	+	1.00	NA	Intergenic	Intergenic	-2324	NM_001038886	3885596	Dm.26326	NM_001038886		CG34038	BP1023|Dm_2R:93795|Dm_2R:93799|Dmel\CG34038	uncharacterized protein	protein-coding
96	chr2L	942071	942270	+	1.00	NA	intron (NM_134714, intron 2 of 10)	intron (NM_134714, intron 2 of 10)	19377	NM_134714	33276	Dm.3015	NM_134714		CG4341	BcDNA:GH12144|Dmel\CG4341	uncharacterized protein	protein-coding
10620	chrX	20495487	20495686	+	1.00	NA	intron (NM_001169338, intron 2 of 14)	(CATA)n|Simple_repeat|Simple_repeat	-4399	NM_001298568	33048	Dm.7998	NM_134552		RhoGAP19D	1412|CG1412|Dmel\CG1412	Rho GTPase activating protein at 19D	protein-coding
9610	chrX	9192562	9192761	+	1.00	NA	promoter-TSS (NM_132307)	promoter-TSS (NM_132307)	-8	NM_132307	31855	Dm.2226	NM_132307		CG12056	Dmel\CG12056	uncharacterized protein	protein-coding
3234	chr2R	17514135	17514334	+	1.00	NA	promoter-TSS (NM_166238)	promoter-TSS (NM_166238)	17	NM_166238	36974	Dm.6912	NM_137378		CG4853	Dmel\CG4853	uncharacterized protein	protein-coding
6062	chr3L	21225800	21225999	+	1.00	NA	promoter-TSS (NM_001259934)	promoter-TSS (NM_001259934)	-710	NM_001259933	40345	Dm.3270	NM_079471		Eip78C	CG18023|DR-78|Dmel\CG18023|E78|E78A|E78B|E78D|EIP78C|Eip 78C|Eip78|Eip78D|Eip78c|NR1E1|anon-WO0172774.42|anon-WO0172774.44|dE78	Ecdysone-induced protein 78C	protein-coding
4844	chr3L	8634047	8634246	+	1.00	NA	promoter-TSS (NM_139990)	promoter-TSS (NM_139990)	-77	NM_139990	38989	Dm.4495	NM_139990		Cdc6	CDC6|CG5971|DmCdc6|Dmel\CG5971|cdc6	Cdc6	protein-coding
9084	chrX	3213527	3213726	+	1.00	NA	intron (NM_001272274, intron 2 of 14)	intron (NM_001272274, intron 2 of 14)	23060	NM_130694	31297	Dm.31065	NM_130694		CG14265	BcDNA:RE43371|Dmel\CG14265|EG:96G10.8	uncharacterized protein	protein-coding
7589	chr3R	19226551	19226750	+	1.00	NA	promoter-TSS (NM_079680)	promoter-TSS (NM_079680)	1	NM_079680	42306	Dm.1575	NM_079680		vib	0450/02|1104/16|CG5269|Dm-PITPalpha|Dmel\CG5269|Gio|PITP|PITP-DM|Vib|anon-WO0142479.3|anon-WO0172774.12|anon-WO0172774.16|anon-WO0172774.28|gio|l(3)S045002|l(3)S045002c|l(3)S110416|l(3)j4A3|l(3)j5A6|l(3)j7A3|l(3)j7C8	vibrator	protein-coding
3026	chr2R	15600367	15600566	+	1.00	NA	Intergenic	CpG	-13388	NM_001169689	8674084	Dm.33372	NM_001169689		CG42524	Dmel\CG42524	uncharacterized protein	protein-coding
9106	chrX	3399151	3399350	+	1.00	NA	intron (NM_001272276, intron 5 of 6)	intron (NM_001272276, intron 5 of 6)	26091	NM_001272275	31310	Dm.4239	NM_080323		Myc	CG10798|D-Myc|DM|DMYc|Dm|Dmel\CG10798|Dmyc|EG:BACN5I9.1|MYC|anon-WO03040301.171|bHLHe57|c-MYC|c-Myc|c-myc|cMyc|d-myc|dMYC|dMyc|dMyc1|dm|dm/dMyc|dm/myc|dmyc|dmyc1|l(1)G0139|l(1)G0354|l(1)G0359|myc	Myc	protein-coding
2421	chr2R	10078203	10078402	+	1.00	NA	promoter-TSS (NM_206069)	promoter-TSS (NM_206069)	-64	NM_206069	36054	Dm.13536	NM_165735		egr	BcDNA:RH51659|CG12919|Dmel\CG12919|Ect1|Egr|Eiger|Regg1|TNF|TNF-alpha|TNFalpha|darth|dt1|regg1	eiger	protein-coding
393	chr2L	4283014	4283213	+	1.00	NA	promoter-TSS (NM_001316379)	promoter-TSS (NM_001316379)	-35	NM_164578	46015	Dm.1777	NM_080127		tutl	CG15426|CG15427|CG15428|CT35489|CT35490|Dmel\CG15427|Tutl|jf4|l(2)01085|l(2)24Df|l(2)jf4|mdcds_7441	turtle	protein-coding
288	chr2L	3058212	3058411	+	1.00	NA	intron (NM_001144306, intron 1 of 5)	CpG	1322	NM_001144306	33524	Dm.7216	NM_134904		FASN1	BcDNA:GH07626|BcDNA:gh07626|CG3523|DM_7295848|Dmel\CG3523|FAS|FASN|FASN[CG3523]|FAS[CG3523]|Fas|Fasn|Fatty acid synthase|anon-EST:Posey235|anon-EST:Posey43|anon-WO0138581.1|dFAS|dFASN|fas	Fatty acid synthase 1	protein-coding
7040	chr3R	13032560	13032759	+	1.00	NA	5' UTR (NM_079613, exon 1 of 4)	5' UTR (NM_079613, exon 1 of 4)	131	NM_079613	41605	Dm.2436	NM_079613		ry	CG7642|Dmel\CG7642|Ry|XDH|XOR|Xdh|Xdh/ry|xdh	rosy	protein-coding
3554	chr2R	20998070	20998269	+	1.00	NA	intron (NM_001274183, intron 1 of 6)	intron (NM_001274183, intron 1 of 6)	1528	NM_166416	37379	Dm.13565	NM_137690		CG10543	Dmel\CG10543	uncharacterized protein	protein-coding
3479	chr2R	19670518	19670717	+	1.00	NA	promoter-TSS (NM_166373)	promoter-TSS (NM_166373)	-1	NM_137595	37261	Dm.9242	NM_137595		isopeptidase-T-3	CG11025|Dmel\CG11025|ISOT-3|IsoT-3|Isopeptidase-T-3	isopeptidase-T-3	protein-coding
4159	chr3L	1178199	1178398	+	1.00	NA	Intergenic	Intergenic	-1022	NM_079155	44254	Dm.3003	NM_079155		bab2	BAB|BAB2|BTB-II|Bab2|BtbII|CG13911|CG9102|Dmel\CG9102|bab|bab-II	bric a brac 2	protein-coding
195	chr2L	2175423	2175622	+	1.00	NA	intron (NM_001272979, intron 1 of 4)	intron (NM_001272979, intron 1 of 4)	3232	NM_078731	33392	Dm.267	NM_078731		aop	AOP|Aop|Aop/Yan|CG3166|DROYANET|DROYANETSB|Dmel\CG3166|SK2-1|YAN|Yan|aop/yan|fus6|pok|yan|yan/pok	anterior open	protein-coding
6933	chr3R	11750020	11750219	+	1.00	NA	promoter-TSS (NM_141855)	promoter-TSS (NM_141855)	-90	NM_001260127	41420	Dm.7827	NM_141855		CG6923	Dmel\CG6923	uncharacterized protein	protein-coding
5943	chr3L	19979753	19979952	+	1.00	NA	promoter-TSS (NM_140906)	promoter-TSS (NM_140906)	-40	NM_001275153	40181	Dm.24020	NM_140906		CG14182	Dmel\CG14182	uncharacterized protein	protein-coding
1534	chr2L	17592278	17592477	+	1.00	NA	promoter-TSS (NM_136009)	promoter-TSS (NM_136009)	-78	NM_001299089	35067	Dm.449	NM_136008		CG6870	Dmel\CG6870	uncharacterized protein	protein-coding
5508	chr3L	15959117	15959316	+	1.00	NA	promoter-TSS (NM_001274976)	promoter-TSS (NM_001274976)	37	NM_001274976	39736	Dm.12896	NM_140560		CG17032	Dmel\CG17032	uncharacterized protein	protein-coding
5890	chr3L	19566277	19566476	+	1.00	NA	TTS (NM_001104176)	TTS (NM_001104176)	1245	NR_048299	12797939		NR_048299		mir-9a	CR33063|CR42891|Dmel\CR42891|Dmel_CR33063|MIR-9|dme-miR-9a|dme-miR-9a-5p|dme-mir-9a|miR-9|miR-9a|miR9a|mir-9|mir-9A|transfrag 22	mir-9a stem loop	ncRNA
3876	chr2R	23957314	23957513	+	1.00	NA	promoter-TSS (NM_166641)	promoter-TSS (NM_166641)	-8	NM_138013	37811	Dm.23535	NM_138013		CG16787	Dmel\CG16787	uncharacterized protein	protein-coding
1254	chr2L	13203809	13204008	+	1.00	NA	promoter-TSS (NM_135768)	promoter-TSS (NM_135768)	146	NM_165029	34716	Dm.416	NM_135769		Pect	CG5547|Dmel\CG5547|PECT|pect	Phosphoethanolamine cytidylyltransferase	protein-coding
6677	chr3R	9236264	9236463	+	1.00	NA	intron (NM_169259, intron 1 of 12)	(GA)n|Simple_repeat|Simple_repeat	662	NM_079561	41094	Dm.1115	NM_079561		pum	CG9755|CG9763|Dmel\CG9755|EP(3)0883|PKL|PUM|Pum|anon-WO0172774.19|bem|fs(3)02003|l(3)01688|ova|ovt|pkl	pumilio	protein-coding
1573	chr2L	18572199	18572398	+	1.00	NA	promoter-TSS (NM_001201909)	promoter-TSS (NM_001201909)	-12	NM_001103707	35107	Dm.13948	NM_136041		Pde11	CG10231|CG15159|CG34341|Dmel\CG34341|Dmel_CG10231|Dmel_CG15159|PDE11	Phosphodiesterase 11	protein-coding
2428	chr2R	10117576	10117775	+	1.00	NA	promoter-TSS (NM_136711)	promoter-TSS (NM_136711)	-19	NM_136711	36061	Dm.549	NM_136711		dmpd	CG11866|Dmel\CG11866|FBXO13	dampened	protein-coding
6974	chr3R	12280883	12281082	+	1.00	NA	promoter-TSS (NM_169458)	promoter-TSS (NM_169458)	-128	NM_169458	41491	Dm.20676	NM_079601		svp	0005/12|0042/01|0106/18|0114/20|0351/01|0598/01|0861/07|BcDNA:GH08189|CG11502|CG18158|Dmel\CG11502|NR2F3|SVP|SVP-1|SVP1|Svp|ck16|don|l(3)07842|l(3)87Bd|l(3)ck16|l(3)j2E2|l(3)rA028|l(3)rL069	seven up	protein-coding
2575	chr2R	11384089	11384288	+	1.00	NA	promoter-TSS (NM_001316415)	promoter-TSS (NM_001316415)	-74	NM_165829	36232	Dm.4032	NM_136838		Sod3	CG13200|CG9027|CT25938|Dmel/CG9027|Dmel\CG9027|SOD3|dSOD3|dSod3	Superoxide dismutase 3	protein-coding
6900	chr3R	11457386	11457585	+	1.00	NA	intron (NM_001260123, intron 1 of 2)	intron (NM_001260123, intron 1 of 2)	535	NM_169392	41379	Dm.3374	NM_141822		PGRP-LB	CG14704|Dmel\CG14704|pgrp-LB|pgrp-lb	Peptidoglycan recognition protein LB	protein-coding
3165	chr2R	16868062	16868261	+	1.00	NA	promoter-TSS (NM_206140)	promoter-TSS (NM_206140)	-61	NM_001299577	45249	Dm.1807	NM_080069		eEF1beta	154264_at|BcDNA.LD24492|BcDNA:LD24492|CG6341|Dmel\CG6341|EG:EG0003.7|Ef1beta|Elf 1 beta	eukaryotic translation elongation factor 1 beta	protein-coding
627	chr2L	6802918	6803117	+	1.00	NA	promoter-TSS (NM_164714)	promoter-TSS (NM_164714)	6	NM_135231	33955	Dm.4976	NM_135231		CG11236	Dmel\CG11236	uncharacterized protein	protein-coding
10231	chrX	16288643	16288842	+	1.00	NA	promoter-TSS (NM_167493)	promoter-TSS (NM_167493)	-68	NM_001272672	32587	Dm.2872	NM_078641		caz	BcDNA:GM09207|CG3606|Caz|Dmel\CG3606|EWSR1|P19|Pen19|SARFH|Sarfh|TFIID|anon-Pen19|cas|dFUS|l(1)5g11|p19|pen19	cabeza	protein-coding
9386	chrX	6759330	6759529	+	1.00	NA	promoter-TSS (NR_047774)	promoter-TSS (NR_047774)	62	NR_047774	12797941		NR_047773		lncRNA:CR43496	CR43496|Dmel\CR43496	long non-coding RNA:CR43496	ncRNA
